               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.081845,             0.02824,            0.021246,           0.0036443,             0.14706,            0.030513,            0.011751,            0.020489,            0.022494,            0.008397,              0.0856,              0.0016,              0.0016
                   1,            0.062736,            0.028451,            0.025724,             0.86898,            0.088235,             0.14705,             0.05739,            0.015127,            0.017386,           0.0083918,            0.069973,           0.0029733,           0.0029733
                   2,            0.047288,            0.022479,            0.019913,             0.44779,             0.63725,             0.53046,             0.23787,            0.021592,            0.012771,           0.0080417,             0.05401,             0.00401,             0.00401
                   3,            0.045355,            0.017301,            0.021925,             0.29216,             0.88562,             0.48566,             0.19592,            0.016457,            0.011851,           0.0083194,             0.03771,           0.0047101,           0.0047101
                   4,            0.043041,            0.015073,             0.01983,             0.37753,             0.66667,             0.45777,             0.15007,            0.023588,           0.0074032,           0.0073723,            0.021074,           0.0050736,           0.0050736
                   5,            0.048715,            0.015309,            0.019596,             0.27331,             0.38411,             0.40098,             0.20966,             0.01755,           0.0069995,           0.0073005,             0.00505,             0.00505,             0.00505
                   6,             0.03689,            0.013917,            0.018134,             0.46194,             0.72588,             0.62224,             0.36266,            0.010725,            0.006551,           0.0073428,             0.00505,             0.00505,             0.00505
                   7,            0.035262,            0.013766,            0.019986,             0.75162,             0.94444,             0.94781,             0.62087,            0.013002,           0.0048176,           0.0068155,             0.00406,             0.00406,             0.00406
                   8,            0.037154,            0.011498,            0.020971,             0.92551,             0.95758,               0.995,             0.69835,           0.0090901,           0.0045798,           0.0061055,             0.00307,             0.00307,             0.00307
                   9,            0.028117,             0.01168,            0.016027,             0.80171,             0.91176,             0.94652,             0.59995,            0.010471,            0.004181,           0.0061191,             0.00208,             0.00208,             0.00208
